,Date,Sg. Golok (m)
1032,2018-10-29,4.31
1033,2018-10-30,4.6
1034,2018-10-31,4.6
1035,2018-01-11,4.63
1036,2018-02-11,4.85
1037,2018-03-11,6.62
1038,2018-04-11,7.21
1039,2018-05-11,6.8
1040,2018-06-11,7.46
1041,2018-07-11,7.67
1042,2018-08-11,7.46
1043,2018-09-11,7.59
1044,2018-10-11,7.49
1045,2018-11-11,7.1
1046,2018-12-11,6.86
1047,2018-11-13,6.21
1048,2018-11-14,5.88
1049,2018-11-15,5.64
1050,2018-11-16,5.5
1051,2018-11-17,5.32
1052,2018-11-18,5.39
1053,2018-11-19,5.83
1054,2018-11-20,6.27
1055,2018-11-21,5.89
1056,2018-11-22,5.43
1057,2018-11-23,5.19
1058,2018-11-24,4.99
1059,2018-11-25,4.8
1060,2018-11-26,5.46
1061,2018-11-27,5.41
1062,2018-11-28,4.76
1063,2018-11-29,6.96
1064,2018-11-30,6.03
1065,2018-01-12,5.05
